housemate,season,positive,special,description,imageURL
Arman Bitaraf,Boys & Girls in the City,FALSE,FALSE,Despite how good you look in a suit you don't get the job as an English teacher.,
Arman Bitaraf,Boys & Girls in the City,TRUE,FALSE,You get a job at the world famous Kamakura Loco Mart.,
Arman Bitaraf,Boys & Girls in the City,FALSE,FALSE,You go skateboarding & land on your head multiple times.,
Arisa Ohata,Boys & Girls in the City,TRUE,FALSE,You go on a group outing to Costco.,
Arisa Ohata,Boys & Girls in the City,FALSE,FALSE,You hold hands with someone you view as a brother.,
Hikaru Ota,Boys & Girls in the City,FALSE,FALSE,You take Misaki to Yokohama and proceed to stomp on her heart.,
Hikaru Ota,Boys & Girls in the City,TRUE,FALSE,You have a sick motorcycle date with Misaki.,
Natsumi Saito,Boys & Girls in the City,TRUE,FALSE,Hansan loves the hamburger you made for him.,
Natsumi Saito,Boys & Girls in the City,TRUE,FALSE,Hansan gives you some solid advice.,
Natsumi Saito,Boys & Girls in the City,FALSE,FALSE,"You're drunk, rowdy and scaring Misaki.",
Misaki Tamori,Boys & Girls in the City,TRUE,FALSE,You look hot as hell in your new pajamas.,
Misaki Tamori,Boys & Girls in the City,FALSE,FALSE,Hikaru takes you to Yokohama and brutally stomps on your heart.,
Misaki Tamori,Boys & Girls in the City,TRUE,FALSE,You have the perfect date with Yuuki Byrnes.,
Misaki Tamori,Boys & Girls in the City,TRUE,FALSE,You get to ride Hikaru's cool motorcycle.,
Yuto Handa,Boys & Girls in the City,FALSE,FALSE,Everyone unloads their problems on you.,
Yuto Handa,Boys & Girls in the City,FALSE,FALSE,"You're perfect, maybe a little too perfect...",
Riko Nagai,Boys & Girls in the City,FALSE,FALSE,You buy everyone you know a cup noodle.,
Riko Nagai,Boys & Girls in the City,TRUE,FALSE,You win Japans sexiest schoolgril competition.,
Riko Nagai,Boys & Girls in the City,FALSE,FALSE,You get caught kissing Hayato.,
Momoka Mitsunaga,Boys & Girls in the City,TRUE,FALSE,Your lifelong dream comes true.,
Momoka Mitsunaga,Boys & Girls in the City,FALSE,FALSE,You have no time for anything but dancing.,
Hayato Terashima,Boys & Girls in the City,FALSE,FALSE,You get caught kissing Riko.,
Hayato Terashima,Boys & Girls in the City,TRUE,FALSE,Most hydrated man on planet earth.,
Yuuki Byrnes,Boys & Girls in the City,TRUE,FALSE,You catch Riko & Hayato kissing outside the elevator (that we've never seen).,
Yuuki Byrnes,Boys & Girls in the City,FALSE,FALSE,You failed your driving test.,
Yuuki Byrnes,Boys & Girls in the City,TRUE,FALSE,You have the perfect date with Misaki.,
Yuuki Byrnes,Boys & Girls in the City,FALSE,FALSE,"You try to surprise Misaki with your new driver's license, but it backfires.",
Masako Endo,Boys & Girls in the City,FALSE,FALSE,You're interested in Hayato but don't know he's secretly seeing Riko.,
Masako Endo,Boys & Girls in the City,TRUE,FALSE,You're the woman of Arman's dreams.,
Minori's Sister,Boys & Girls in the City,TRUE,TRUE,You're feeling down but Minori's sister comes to see you and cheer you up.,
Locomart Boss,Boys & Girls in the City,TRUE,TRUE,After a long days work he tells you you're the hardest worker he's ever had.,
Rikopins mom,Boys & Girls in the City,TRUE,TRUE,You've been entered into another beauty competition.,
Seina,Boys & Girls in the City,TRUE,TRUE,You are blessed by the Terrace House legend Seina.,
Ippei,Boys & Girls in the City,TRUE,TRUE,Ippei tells you a joke that's actually quite funny.,
Dyki,Boys & Girls in the City,TRUE,TRUE,You're trained to fight by Japan's toughest childminder.,
Minoris Running Shoes,Boys & Girls in the City,TRUE,TRUE,Boxed with a note from Makoto.,
Coward Rice,Boys & Girls in the City,TRUE,TRUE,Loving cooked by Minori.,
Ucci's Sewing Machine,Boys & Girls in the City,TRUE,TRUE,"Hairdresser, seamstress. What can't he do.",
The Car That Hits Artman,Boys & Girls in the City,TRUE,TRUE,The real villain of Terrace House.,
Tap Tap Shoes,Boys & Girls in the City,TRUE,TRUE,Probably worth a bit on eBay.,
Ucci's Special Meat,Boys & Girls in the City,TRUE,TRUE,Complete with fancy box and instructions on how to cook.,
Yuuki's Driving Licence,Boys & Girls in the City,TRUE,TRUE,Finally.,
Hayato's Glass,Boys & Girls in the City,FALSE,TRUE,May make you look more guilty.,
Momoka's Tutu,Boys & Girls in the City,FALSE,TRUE,Wear me to have no social life.,
Arisa's Hat,Boys & Girls in the City,TRUE,TRUE,A perfectly custom made hat.,
Misaki's Pajamas,Boys & Girls in the City,FALSE,TRUE,Look cute but don't work.,
Hansan's Office,Boys & Girls in the City,TRUE,TRUE,A relaxed place to smoke hundreds of cigarettes.,
Terrace House Hamburger,Boys & Girls in the City,TRUE,TRUE,A staple of the Terrace House diet.,
